"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Jaylen Brown",5500,"BOS@PHI 10/20/2017 07:00PM ET",12.039,"BOS"
"C","Nerlens Noel",5500,"SAC@DAL 10/20/2017 08:30PM ET",21.389,"DAL"
"PF/C","Zach Randolph",5500,"SAC@DAL 10/20/2017 08:30PM ET",27.719,"SAC"
"PF/C","Derrick Favors",5500,"UTA@MIN 10/20/2017 08:00PM ET",21.164,"UTA"
"SF/PF","Otto Porter",5500,"DET@WAS 10/20/2017 07:00PM ET",28.489,"WAS"
"SF/PF","Rondae Hollis-Jefferson",5400,"ORL@BKN 10/20/2017 07:30PM ET",21.601,"BKN"
"SG/SF","Evan Fournier",5400,"ORL@BKN 10/20/2017 07:30PM ET",26.957,"ORL"
"PF/C","Dario Saric",5400,"BOS@PHI 10/20/2017 07:00PM ET",25.985,"PHI"
"PG","Rajon Rondo",5400,"GS@NO 10/20/2017 09:30PM ET",27.236,"NO"
"PG/SG","Avery Bradley",5400,"DET@WAS 10/20/2017 07:00PM ET",29.843,"DET"
"PG","Reggie Jackson",5400,"DET@WAS 10/20/2017 07:00PM ET",26.183,"DET"
"SG/SF","Rodney Hood",5300,"UTA@MIN 10/20/2017 08:00PM ET",20.457,"UTA"
"SG/SF","Brandon Ingram",5200,"LAL@PHO 10/20/2017 10:00PM ET",19.216,"LAL"
"PG/SG","George Hill",5200,"SAC@DAL 10/20/2017 08:30PM ET",29.284,"SAC"
"SG/SF","Buddy Hield",5200,"SAC@DAL 10/20/2017 08:30PM ET",18.325,"SAC"
"SG/SF","Wesley Matthews",5100,"SAC@DAL 10/20/2017 08:30PM ET",25.145,"DAL"
"PG","De'Aaron Fox",5100,"SAC@DAL 10/20/2017 08:30PM ET",24.250,"SAC"
"SF/PF","T.J. Warren",5000,"LAL@PHO 10/20/2017 10:00PM ET",26.138,"PHO"
"SG/SF","Lance Stephenson",5000,"POR@IND 10/20/2017 07:00PM ET",18.772,"IND"
"SG/SF","Kent Bazemore",5000,"ATL@CHA 10/20/2017 07:00PM ET",21.966,"ATL"
"SG/SF","Taurean Prince",5000,"ATL@CHA 10/20/2017 07:00PM ET",13.534,"ATL"
"SG/SF","Gordon Hayward",5000,"BOS@PHI 10/20/2017 07:00PM ET",36.424,"BOS"
"PG/SG","Markelle Fultz",5000,"BOS@PHI 10/20/2017 07:00PM ET",10.500,"PHI"
"PF/C","Dirk Nowitzki",5000,"SAC@DAL 10/20/2017 08:30PM ET",27.336,"DAL"
"SG","Dwyane Wade",5000,"CLE@MIL 10/20/2017 07:00PM ET",32.731,"CLE"
"PG/SG","Malcolm Brogdon",5000,"CLE@MIL 10/20/2017 07:00PM ET",22.172,"MIL"
"SF/PF","Jabari Parker",5000,"CLE@MIL 10/20/2017 07:00PM ET",34.578,"MIL"
"SF/PF","Markieff Morris",5000,"DET@WAS 10/20/2017 07:00PM ET",27.552,"WAS"
"SF/PF","Kyle Kuzma",4900,"LAL@PHO 10/20/2017 10:00PM ET",28.000,"LAL"
"PF/C","Skal Labissiere",4900,"SAC@DAL 10/20/2017 08:30PM ET",17.676,"SAC"
"PG","Derrick Rose",4900,"CLE@MIL 10/20/2017 07:00PM ET",30.077,"CLE"
"PF/C","Marquese Chriss",4800,"LAL@PHO 10/20/2017 10:00PM ET",18.741,"PHO"
"SF/PF","Al-Farouq Aminu",4800,"POR@IND 10/20/2017 07:00PM ET",23.216,"POR"
"SG/SF","Allen Crabbe",4800,"ORL@BKN 10/20/2017 07:30PM ET",18.018,"BKN"
"PF/C","Greg Monroe",4800,"CLE@MIL 10/20/2017 07:00PM ET",26.098,"MIL"
"SG/SF","Josh Jackson",4700,"LAL@PHO 10/20/2017 10:00PM ET",19.750,"PHO"
"PF/C","Trevor Booker",4700,"ORL@BKN 10/20/2017 07:30PM ET",25.500,"BKN"
"C","Dewayne Dedmon",4700,"ATL@CHA 10/20/2017 07:00PM ET",15.617,"ATL"
"SF/PF","Jae Crowder",4700,"CLE@MIL 10/20/2017 07:00PM ET",27.720,"CLE"
"SG/SF","Joe Ingles",4600,"UTA@MIN 10/20/2017 08:00PM ET",18.177,"UTA"
"SG","Kentavious Caldwell-Pope",4500,"LAL@PHO 10/20/2017 10:00PM ET",24.737,"LAL"
"SG/SF","Evan Turner",4500,"POR@IND 10/20/2017 07:00PM ET",20.750,"POR"
"SF/PF","Ersan Ilyasova",4500,"ATL@CHA 10/20/2017 07:00PM ET",24.075,"ATL"
"SF","Michael Kidd-Gilchrist",4500,"ATL@CHA 10/20/2017 07:00PM ET",23.645,"CHA"
"SF/PF","Marcus Morris",4500,"BOS@PHI 10/20/2017 07:00PM ET",25.057,"BOS"
"SG/SF","J.J. Redick",4500,"BOS@PHI 10/20/2017 07:00PM ET",21.451,"PHI"
